Product SKU,Warranty
LGM006,"<div id=""how-to-text""><p>In the morning, apply as the final step of your skincare routine. Re-apply if and when needed. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Water, Ethylhexyl Methoxycinnamate, Octocrylene, Alcohol Denat., Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Propanediol, Methyl Methacrylate Crosspolymer, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Methoxy PEG/PPG-25/4 Dimethicone, Bis-PEG/PPG-20/5 PEG/PPG-20/5 Dimethicone, Caprylic/Capric Triglyceride, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Dimethicone, Isohexadecane, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Caprylyl Glycol, Citrus Aurantium Dulcis (Orange) Oil, Ethylhexylglycerin, Panthenol, Polysorbate 80, BHT, Sodium Hydroxide, 1,2-Hexanediol, Lavandula Angustifolia (Lavender) Oil, Sorbitan Oleate, Disodium EDTA, Geranium Maculatum Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Santalum Album (Sandalwood) Oil, Rose Flower Oil, Chamomilla Recutita (Matricaria) Flower Oil, Styrax Benzoin Gum, Commiphora Myrrha Oil, Urea, Indole Acetic Acid, Hydrolyzed Vegetable Protein, Maltodextrin </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
HMS0003,"<div id=""how-to-text""><p>After moisturiser, apply a thin layer. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Water, Butylene Glycol, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Phenylbenzimidazole Sulfonic Acid, Stearyl Alcohol, Triethanolamine, Octocrylene, Niacinamide, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Butyl Methoxydibenzoylmethane, Synthetic Fluorphlogopite, CI 77891(titanium dioxide), CI 77019 (mica), PEG-100 Stearate , Hydrogenated Lecithin, Glyceryl Stearate, Beeswax, Caprylyl Glycol, Carbomer, Adenosine, Disodium Edta, Tin Oxide, Carmine, Thymus Vulgaris (Thyme) Flower/Leaf Extract, Origanum Majorana Leaf Extract, Mentha Piperita (Peppermint) Leaf Extract, Rosa Canina Fruit Extract, Fragrance </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
JMO0002,"<div id=""how-to-text""><p>Place the cotton side sheet mask over cleansed and toned face. Carefully peel away and discard the mesh layer. Leave on for 10-20 minutes. Remove gently, massage remaining serum into skin. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Water, Glycerin, Methylpropanediol, Niacinamide, Betaine, Xylitylglucoside, Anhydroxylitol, Xylitol, Malva Sylvestris (Mallow) Extract, Mentha Piperita (Peppermint) Leaf Extract, Primula Veris Extract, Alchemilla Vulgaris Extract, Veronica Officinalis Extract, Melissa Officinalis Leaf Extract, Achillea Millefolium Extract, Rubus Idaeus (Raspberry) Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Cornus Officinalis Fruit Extract, Prunus Serotina (Wild Cherry) Fruit Extract, Punica Granatum Fruit Extract, Salmon Egg Extract, Calcium Pantothenate, Sodium Ascorbyl Phosphate, Tocopheryl Acetate, Pyridoxine HCl, Maltodextrin, Silica, Sodium Starch Octenylsuccinate, Ceramide NP, Ceramide NS, Triethylhexanoin, Butyrospermum Parkii (Shea Butter), Butylene Glycol, 1,2-Hexanediol, Hydrogenated Lecithin, Hydroxyethylcellulose, Xanthan Gum, Carbomer, Scutellaria Baicalensis Root Extract, Ethylhexylglycerin, Glyceryl Caprylate, Aloe Barbadensis Leaf Juice, Caffeine, PEG-32, Panthenol, Allantoin, Dehydroacetic Acid, Arginine, PEG-60 Hydrogenated Castor Oil, Fragrance, Chlorphenesin, Disodium EDTA </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
PY0005,"<div id=""how-to-text""><p>Use in the morning and evening as the last step of your skin routine. Gently pat the creams. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Coptis Japonica Root Extract, Butylene Glycol, Simmondsia Chinensis (Jojoba) Seed Oil, Polyglyceryl-3 Methylglucose Distearate, Cetyl Ethylhexanoate, Butylene Glycol Dicaprylate/Dicaprate, Isohexadecane, 1,2-Hexanediol, Cetearyl Alcohol, Glyceryl Stearate, Butyrospermum Parkii (Shea) Butter, SIMULGEL EG, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isohexadecane, Polysorbate 80, Glyceryl Caprylate </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
CSRX015,"<div id=""how-to-text""><p>Use as the last step in your skin routin. Apply a moderate amount on face and neck. Apply a thicker layer on troubled skin, or dry areas. Refrigerate before use to improve cooling sensation and calming capability, and suppleness.</p></div><div id=""ingredients-text""><p>Aloe Barbadensis Leaf Water, Butylene Glycol, Glycerin, 1,2-Hexanediol, Betaine, Aloe Barbadensis Leaf Juice Powder, Allantoin, PEG-60 Hydrogenated Castor Oil, Dimethicone, Arginine, Carbomer, Ethylhexylglycerin, Sodium Hyaluronate, Panthenol, Chlorophyllin-Copper Complex, Ethyl Hexanediol. </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
KLR041,"<div id=""how-to-text""><p>1) After cleansing, even out your skin texture using a cotton pad soaked in the toner. 2) Layer the toner where you feel extra dry by pressing lightly with a cotton pad or the palm of your hand. 3) Continue your routine with essence, cream, and so on. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Camellia Sinensis Leaf Water, Aqua (Water), Glycerin, Propanediol, 1,2-Hexanediol, Butylene Glycol, Calendula Officinalis Flower Water, Cocos Nucifera (Coconut) Water, Betaine, Panthenol, Pantolactone, Trehalose, Sodium PCA, Sodium Citrate, Disodium EDTA </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
CSRX004,"<div id=""how-to-text""><p>If used as a regular moisturizer, apply as the last step of your skin routine, smooth over face and neck, avoiding eyes and mouth. Pat to aid absorption. If used as a sleeping mask- use as the last step of your nighttime routine. Gently apply all over face and neck, avoiding eyes and mouth. Leave on overnight and rinse the next morning. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Oryza Sativa (Rice) Extract, Butylene Glycol, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Betaine, Niacinamide, Dimethicone, 1,2-Hexanediol, Cetearyl Olivate, Sorbitan Olivate, Elaeis Guineensis (Palm) Oil, Elaeis Guineensis (Palm) Kernel Oil, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cetearyl Alcohol, Ethylhexylglycerin, Arginine, Carbomer, Allantoin, Xanthan Gum </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
RB0008,"<div id=""how-to-text""><p>Apply a small amount across the clean face. Pat gently to help better absorption using warm hand temperature. Follow up with ampoule and favourite moisturiser. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Water, Glycerin, Propanediol, Dimethicone, Helianthus Annuus (sunflower) seed oil, Sodium polyacrylate, Xylitol, Caprylic acid, Glyceryl stearate, Sodium hyaluronate crosspolymer, Hydrolyzed Glycosaminoglycans, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Water, Propanediol, Glycerin, Benzyl Glycol, Ethylhexylglycerin, Raspberry Ketone, Butylene Glycol, Water, Sorbitan Laurate, Hydroxyethylcellulose, Acetyl Dipeptide-1 Cetyl ester, Panthenol, Beta-glucan, Madecassoside, Myristoyl/Palmitoyl Oxostearamide/Arachamide mea, Ceramide3, Allantoin, water, Polyglyceryl-4 caprate, Hydroxypropyl Methylcellulose, Carbomer, Sodium Phytate, Caprylyl Glycol, 1,2-hexanediol, Parfum </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
PUR001,"<div id=""how-to-text""><p>After toner, apply an appropriate amount to the skin and pat to help absorption. Please note: Due to the nature of pure vitamin C, which is vulnerable to oxygen, light, and heat, browning may occur depending on the storage environment. Therefore, please keep it fresh in the refrigerator (fresh food compartment). </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p> Bambusa Vulgaris Water (Skin conditioning agents,76.23%), Pentylene Glycol (Skin conditioning agents), Ascorbic Acid (antioxidant,5%), Butylene Glycol (Skin conditioning agents), 1,2-Hexanediol (solvents), Niacinamide (brightening), Water (solvents), Sodium Hyaluronate (Skin conditioning agents), Polyglyceryl-6 Caprylate (stabilizers), Polyglyceryl-4 Caprate (stabilizers), Caprylyl Glycol (Skin conditioning agents), Hydrolyzed Jojoba Esters (Skin conditioning agents), Hydroxyacetophenone (antioxidant), Disodium EDTA (chelating agents), Glutathione (reducing agent), Adenosine (anti-wrinkle agents)
</p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
SIO009,"<div id=""how-to-text""><p>Take a small amount and massage onto face and neck. Gently tap and press until the cream is fully absorbed. Use as the final step in your evening routine.</p></div><div id=""ingredients-text""><p>*Citrus Junos Fruit Water(65%), Calophyllum Inophyllum Seed Oil(5%), Macadamia Integrifolia Seed Oil(5%), Propanediol, Isoamyl Laurate, Cetearyl Alcohol, Butyrospermum Parkii (Shea) Butter(2%), Water, Stearic Acid, Glycol Stearate, Glycerin, Cetearyl Glucoside, Akebia Quinata Extract, Sodium Hyaluronate, Centella Asiatica Extract, Polygonum Cuspidatum Root Extract, Camellia Sinensis Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Beeswax, Cetearyl Olivate, Sorbitan Olivate, Hydrogenated Vegetable Oil, Allantoin, Tocopherol, Beta-Glucan, Scutellaria Baicalensis Root Extract, Paeonia Suffruticosa Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Arginine, p-Anisic Acid, Sclerotium Gum, Citric Acid *ORGANIC FARMING </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
LGM004,"<div id=""how-to-text""><p>Apply to skin as the final step of skin care regimen in the evening. During the day follow up with a sun cream. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Water, Propanediol, Cetyl Ethylhexanoate, Glycerin, Cetearyl Olivate, Sorbitan Olivate, Cetearyl Alcohol, Macadamia Ternifolia Seed Oil, Butyrospermum Parkii (Shea) Butter, 1,2-Hexanediol, Palmitic Acid, Dimethicone, Ammonium Acryloyldimethyltaurate/VP Copolymer, Stearic Acid, Polyacrylate-13, Caprylyl Glycol, Tocopheryl Acetate, Polyisobutene, Polysorbate 20, Citrus Aurantium Dulcis (Orange) Oil, Sorbitan Isostearate, Disodium EDTA, Lavandula Angustifolia (Lavender) Oil, Myristic Acid, Geranium Maculatum Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Santalum Album (Sandalwood) Oil, Rose Flower Oil, Chamomilla Recutita (Matricaria) Flower Oil, Indole Acetic Acid, Hydroxyethyl Urea, Panthenol, Maltodextrin, Hydrolyzed Vegetable Protein, Camellia Sinensis Callus Culture Extract, Styrax Benzoin Gum, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Commiphora Myrrha Oil, Butylene Glycol, Citric Acid, Beta-Glucan, Usnea Barbata (Lichen) Extract, Zanthoxylum Piperitum Fruit Extract, Xanthan Gum, Pulsatilla Koreana Extract, Phenoxyethanol, Lecithin, Urea, Sodium Hyaluronate, Centella Asiatica Extract, Ethylhexylglycerin </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
JK001,"<div id=""how-to-text""><p>Place a nickel-sized amount of powder into palm of hand. Add a little warm water. Work up a gentle lather. Massage onto face and neck. Leave on 1 minute. Rinse thoroughly. Follow up with toner. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Zea Mays (Corn) Starch, Sodium Cocoyl Isethionate, Sodium Lauroyl Glutamate, Beta Glucan, Citrus Grandis (Grapefruit) Seed Extract, Pollen Extract, Opuntia Ficus-Indica Extract, Papain, Allantoin, Collagen, Betaine, Aloe Barbadensis Leaf Juice, Sorbitol, Titanium Dioxide, Citric Acid, Disodium EDTA </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
BTW008,"<div id=""how-to-text""><p>Use as a morning cleanser or a second step cleanser in double cleansing routine. Depends on skin condition and sensitivity you can use it between 1-3 times a week. Do not use this product with other exfoliating products such as retinol, a high concentration of Vitamin C, AHA, BHA etc. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Water, Sodium Lauroyl Sarcosinate, Cocamidopropyl Betaine, Lauramide DEA, Diglycerin, PEG-120 Methyl Glucose Dioleate, Sodium Chloride, Disodium Cocoamphodiacetate, Sodium Lauroyl Glutamate, Gluconolactone, Capryloyl Salicylic Acid, Butylene Glycol, Hexylene Glycol, Panthenol, Maltodextrin, Citric Acid, Sodium Citrate, Beta-Glucan, Salix Alba (Willow) Bark Extract, Rosmarinus Officinalis (Rosemary) Extract, Lavandula Angustifolia (Lavender) Extract, Thymus Vulgaris (Thyme) Extract, Rosa Canina Fruit Extract, Mentha Piperita (Peppermint) Extract, Melissa Officinalis Extract, Jasminum Officinale (Jasmine) Extract, Hibiscus Sabdariffa Flower Extract, Cymbopogon Citratus Extract, Chamomilla Recutita (Matricaria) Extract, Calendula Officinalis Extract, Aspalathus Linearis Extract, Cyanocobalamin,Sodium Benzoate, Chlorphenesin, 1,2-Hexanediol </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
BNT0004,"<div id=""how-to-text""><p>Use in the morning and in the evening. After cleansing and toning, apply a small amount around the eye area and gently pat using your ring fingers. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Galactomyces Ferment Filtrate, Aqua (Water), Butylene Glycol, Caprylic/Capric Triglyceride, Glycerin, Cetearyl Alcohol, Cetyl Ethylhexanoate, Pentylene Glycol, Macadamia Integrifolia Seed Oil, Cetearyl Olivate, Bifida Ferment Lysate, Ceramide NP, Althaea Rosea Root Extract, Aloe Barbadensis Leaf Extract, Sorbitan Olivate, Sorbitan Stearate, Sodium Hyaluronate, Allantoin, Betaine, Beta-Glucan, Panthenol, sh-Oligopeptide-1, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine,1,2-Hexanediol, Pulsatilla Koreana Extract, Zanthoxylum Piperitum Fruit Extract, Usnea Barbata (Lichen) Extract, Hydrogenated Lecithin, Adenosine, Polysorbate 20, Lecithin </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
BTW017,"<div id=""how-to-text""><p>Apply 3-4 drops on your palm and gently pat over the face. Pat lightly until it fully absorbs. Recommend using this product in between toner and serum step. We recommend doing patch test before using any new product. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Aqua(Water), Salix Alba (Willow) Bark Extract(10%), Centaurea Cyanus Flower Water(9%), Schisandra Chinensis Fruit Extract(9%), Morus Alba Bark Extract(8.7%), Nelumbo Nucifera Leaf Extract(8.7%), Methylpropanediol, Glycerin, Saccharomyces/Honey Ferment Filtrate, Saccharomyces/Xylinum/Black Tea Ferment, 1,2-Hexanediol, Propolis Extract(1%), Butylene Glycol, Benzyl Glycol, Hydroxyethylcellulose, Citric Acid, Sodium Citrate, Disodium EDTA, Ethylhexylglycerin </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
